room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
Entire home/apt,12,9,1,0,7,4,119
Entire home/apt,14,1,5,4.5,2,1,107
Entire home/apt,13,2,18,5,6,2,119
Entire home/apt,12,17,0,0,6,2,117
Entire home/apt,2,41,0,0,6,2,119
Entire home/apt,14,1,132,5,4,1,107
Entire home/apt,2,11,21,4.5,9,5,119
Entire home/apt,15,1,0,0,2,1,107
Entire home/apt,3,46,4,5,4,2,107
Entire home/apt,12,16,0,0,4,1,113
Entire home/apt,13,4,0,0,2,1,119
Entire home/apt,15,4,7,5,4,1,119
Entire home/apt,15,5,19,5,6,2,113
Entire home/apt,15,5,3,4.5,6,3,107
Entire home/apt,2,42,3,5,6,2,107
Entire home/apt,2,39,35,5,9,3,117
Entire home/apt,3,54,0,0,4,2,119
Entire home/apt,3,54,15,5,9,3,119
Entire home/apt,15,4,2,0,4,1,107
Entire home/apt,12,13,0,0,6,2,119
Entire home/apt,2,36,57,4.5,6,3,113
Entire home/apt,15,4,99,5,6,2,114
Entire home/apt,13,4,19,5,6,3,119
Entire home/apt,2,39,7,5,6,3,119
Entire home/apt,12,22,0,0,4,1,119
Entire home/apt,13,2,38,5,4,0,115
Entire home/apt,2,44,7,5,6,2,121
Entire home/apt,11,48,0,0,6,3,107
Entire home/apt,11,14,12,5,7,5,107
Entire home/apt,1,19,52,4.5,8,4,107
Entire home/apt,11,58,2,0,4,3,107
Entire home/apt,1,14,6,4.5,7,4,107
Entire home/apt,11,61,0,0,7,4,124
Entire home/apt,11,20,0,0,4,2,106
Entire home/apt,6,2,5,5,6,3,107
Entire home/apt,7,2,0,0,2,2,121
Entire home/apt,9,1,0,0,4,1,119
Entire home/apt,4,8,86,4.5,8,4,113
Entire home/apt,11,54,5,5,5,3,119
Entire home/apt,4,19,0,0,5,3,119
Entire home/apt,10,87,0,0,2,0,107
Entire home/apt,10,70,0,0,4,3,107
Entire home/apt,10,13,1,0,6,3,107
Entire home/apt,2,7,1,0,5,2,116
Entire home/apt,10,55,0,0,6,3,104
Entire home/apt,10,40,3,4.5,7,3,113
Entire home/apt,10,80,15,4,8,4,119
Entire home/apt,10,1,3,4,5,2,117
Entire home/apt,2,3,0,0,5,3,107
Entire home/apt,2,41,0,0,4,1,107
Entire home/apt,9,3,10,4.5,6,3,107
Entire home/apt,4,44,127,4.5,4,1,107
Entire home/apt,2,7,1,0,6,3,119
Entire home/apt,2,42,0,0,4,0,119
Entire home/apt,4,46,7,4.5,8,6,119
Entire home/apt,14,6,2,0,8,2,119
Entire home/apt,8,3,0,0,6,3,117
Entire home/apt,4,47,0,0,4,2,119
Entire home/apt,3,27,5,5,6,2,119
Entire home/apt,12,15,0,0,6,2,119
Entire home/apt,15,5,17,5,4,1,107
Entire home/apt,13,2,1,0,4,2,117
Entire home/apt,11,48,5,5,6,3,119
Entire home/apt,5,11,10,5,6,2,149
Entire home/apt,12,17,0,0,4,2,149
Entire home/apt,5,15,16,4.5,4,1,167
Entire home/apt,11,59,0,0,4,2,155
Entire home/apt,15,3,111,5,10,4,184
Entire home/apt,10,17,3,4,13,5,155
Entire home/apt,15,2,9,4.5,4,2,184
Entire home/apt,12,22,0,0,3,1,178
